Complete_Time,Appts_Complete_National,Appts_Complete_Over_30_Days_%_National,PC_Wait_Complete_National,SC_Wait_Complete_National,MH_Wait_Complete_National,date
National: 8/2016,5219984,3.68%,4.71,6.68,2.75,2016-08-09
National: 7/2016,4438995,3.64%,4.72,6.6,2.77,2016-07-09
National: 6/2016,4989814,3.59%,4.66,6.45,2.76,2016-06-09
National: 5/2016,4877166,3.29%,4.57,6.16,2.51,2016-05-09
National: 4/2016,4931526,3.38%,4.68,6.19,2.43,2016-04-09
National: 3/2016,5353597,3.28%,4.66,6.13,2.64,2016-03-09
National: 2/2016,4744626,3.54%,4.92,6.44,3.03,2016-02-09
National: 1/2016,4497268,4.17%,5.2,6.9,3.29,2016-01-09
National: 12/2015,4672667,3.84%,4.87,6.44,3.03,2015-12-09
National: 11/2015,4388187,3.65%,4.57,6.28,3.03,2015-11-09
National: 10/2015,4966790,3.27%,4.01,6.03,3.02,2015-10-09
National: 9/2015,4883045,3.30%,4.37,5.81,3.07,2015-09-09
National: 8/2015,4719582,3.20%,4.5,5.67,3.01,2015-08-09
National: 7/2015,4828643,3.01%,4.38,5.4,2.94,2015-07-09
National: 6/2015,4985100,2.90%,4.19,5.14,2.85,2015-06-09
National: 5/2015,4546635,2.64%,4.09,4.84,2.68,2015-05-09
National: 4/2015,5063122,2.76%,4.15,4.87,2.82,2015-04-09
National: 3/2015,5046853,2.80%,4.24,5.02,3.18,2015-03-09
National: 2/2015,4265529,2.79%,4.28,4.96,3.15,2015-02-09
National: 1/2015,4549212,3.38%,4.61,5.47,3.44,2015-01-09
National: 12/2014,4578871,2.87%,4.03,4.71,2.75,2014-12-09
National: 11/2014,4059004,2.78%,3.88,4.61,2.58,2014-11-09
National: 10/2014,5216606,2.41%,3.27,4.32,2.49,2014-10-09
National: 9/2014,4871976,2.72%,3.72,4.42,2.51,2014-09-09
National: 8/2014,4625958,2.43%,3.57,4.15,2.36,2014-08-09
National: 7/2014,4867639,2.17%,3.15,3.87,2.12,2014-07-09
National: 6/2014,4723099,1.80%,2.57,3.39,1.84,2014-06-09
National: 5/2014,4676707,1.61%,2.2,3.2,1.71,2014-05-09
